               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.022966,            0.006076,           0.0041214,             0.89586,             0.75695,             0.83656,             0.63812,            0.020114,           0.0052063,           0.0066458,           0.0034673,           0.0034673,           0.0034673
                  36,            0.022445,           0.0058996,           0.0041787,             0.89325,             0.76078,              0.8387,             0.63652,            0.019941,           0.0050923,           0.0058931,           0.0032573,           0.0032573,           0.0032573
                  37,            0.022238,           0.0060282,           0.0039915,             0.90309,             0.76366,              0.8363,             0.63541,            0.020034,           0.0052106,           0.0060378,           0.0030472,           0.0030472,           0.0030472
                  38,            0.021895,           0.0058369,           0.0036857,             0.88123,             0.77363,             0.84176,             0.64094,            0.019742,           0.0052183,           0.0057586,           0.0028371,           0.0028371,           0.0028371
                  39,            0.022016,           0.0058198,           0.0038475,             0.89122,             0.77975,             0.84467,             0.64535,            0.019919,           0.0051443,            0.005316,            0.002627,            0.002627,            0.002627
                  40,            0.021224,           0.0057396,           0.0034962,             0.90098,             0.75904,             0.83947,             0.64063,            0.019871,           0.0051097,           0.0060798,            0.002417,            0.002417,            0.002417
                  41,            0.021116,           0.0056898,           0.0035232,             0.90506,             0.77576,             0.84764,             0.64424,            0.019719,           0.0050945,           0.0055704,           0.0022069,           0.0022069,           0.0022069
                  42,            0.021101,           0.0056521,           0.0034473,             0.89759,             0.78021,             0.84911,             0.64653,             0.01959,            0.005045,           0.0056991,           0.0019968,           0.0019968,           0.0019968
                  43,            0.020674,            0.005616,           0.0033333,              0.8969,             0.76788,             0.84809,             0.64977,            0.019418,            0.005087,           0.0054053,           0.0017867,           0.0017867,           0.0017867
                  44,            0.020334,            0.005496,           0.0029718,             0.89404,             0.77769,             0.84692,             0.64754,            0.019255,           0.0050727,           0.0054073,           0.0015766,           0.0015766,           0.0015766
                  45,            0.020013,           0.0054578,           0.0029373,             0.90237,             0.78499,             0.84696,             0.64826,            0.019365,           0.0051052,           0.0057184,           0.0013666,           0.0013666,           0.0013666
                  46,            0.019927,           0.0053926,           0.0028956,             0.88769,             0.77541,             0.84186,             0.65074,            0.019268,           0.0050962,           0.0059136,           0.0011565,           0.0011565,           0.0011565
                  47,            0.019508,           0.0053494,           0.0028223,             0.90662,             0.78309,             0.84764,             0.65163,            0.019366,            0.005114,           0.0059604,          0.00094641,          0.00094641,          0.00094641
                  48,            0.019317,           0.0053378,           0.0026247,             0.91073,             0.77203,             0.84919,             0.64884,            0.019284,           0.0050644,           0.0056271,          0.00073633,          0.00073633,          0.00073633
                  49,            0.018834,           0.0052634,           0.0027068,             0.90205,             0.77606,             0.84727,             0.65559,            0.019161,           0.0050919,           0.0055931,          0.00052626,          0.00052626,          0.00052626
