               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024665,           0.0066078,           0.0051086,             0.86113,             0.78389,             0.84201,             0.64368,            0.020795,           0.0050423,           0.0060435,             0.00307,             0.00307,             0.00307
                  37,            0.024257,           0.0065963,            0.005268,              0.9261,             0.73315,             0.83844,             0.64814,            0.020562,           0.0049507,           0.0066632,            0.002872,            0.002872,            0.002872
                  38,            0.024092,           0.0064577,           0.0050244,             0.87606,             0.76757,             0.83709,             0.64206,            0.020584,            0.005081,           0.0064691,            0.002674,            0.002674,            0.002674
                  39,            0.023766,           0.0063011,           0.0049161,             0.91899,             0.74216,              0.8405,             0.64578,            0.020375,           0.0050026,           0.0059749,            0.002476,            0.002476,            0.002476
                  40,            0.023358,           0.0062932,           0.0046669,             0.93235,             0.73641,             0.84317,             0.64788,            0.020356,           0.0050239,           0.0062954,            0.002278,            0.002278,            0.002278
                  41,            0.023285,            0.006342,           0.0045797,             0.90843,             0.76029,             0.84552,             0.65185,            0.020222,           0.0049145,           0.0064038,             0.00208,             0.00208,             0.00208
                  42,            0.022844,           0.0062873,           0.0044517,             0.86517,             0.78356,             0.84883,             0.65063,            0.020185,           0.0048976,           0.0063375,            0.001882,            0.001882,            0.001882
                  43,            0.022568,           0.0061877,           0.0039759,              0.8979,             0.77979,             0.84749,             0.65651,            0.019953,           0.0049416,           0.0061942,            0.001684,            0.001684,            0.001684
                  44,            0.022242,           0.0061439,            0.003971,             0.89319,             0.78961,             0.84347,             0.65562,            0.019898,           0.0049725,             0.00609,            0.001486,            0.001486,            0.001486
                  45,             0.02226,           0.0060627,            0.003882,             0.90604,             0.77872,             0.85093,             0.65369,            0.019939,           0.0049287,            0.005828,            0.001288,            0.001288,            0.001288
                  46,            0.022001,           0.0060449,           0.0039294,             0.89174,             0.78635,             0.84892,             0.65881,            0.019939,           0.0049395,           0.0060735,             0.00109,             0.00109,             0.00109
                  47,             0.02189,           0.0060616,            0.003784,             0.92847,             0.75889,             0.85257,             0.65782,             0.01985,           0.0049404,           0.0060118,            0.000892,            0.000892,            0.000892
                  48,            0.021656,           0.0059552,           0.0036948,             0.88948,             0.79555,             0.85855,             0.66155,            0.019742,           0.0049168,           0.0054991,            0.000694,            0.000694,            0.000694
                  49,            0.021298,           0.0059686,           0.0035878,             0.88937,             0.79312,             0.85499,             0.66409,            0.019611,           0.0048636,           0.0054865,            0.000496,            0.000496,            0.000496
