               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.021037,            0.005457,           0.0031354,             0.89469,             0.80132,              0.8749,             0.67623,            0.019019,           0.0049027,           0.0058329,             0.00307,             0.00307,             0.00307
                  37,            0.020636,           0.0054556,           0.0032218,             0.87997,             0.80886,             0.87283,             0.67646,            0.018996,           0.0049548,           0.0057676,            0.002872,            0.002872,            0.002872
                  38,            0.020422,           0.0053035,           0.0029602,             0.89493,             0.80166,             0.87688,              0.6812,            0.018939,             0.00485,           0.0055922,            0.002674,            0.002674,            0.002674
                  39,            0.020043,           0.0051625,           0.0029876,             0.93811,             0.76803,             0.87668,             0.67673,            0.018923,           0.0049945,           0.0053834,            0.002476,            0.002476,            0.002476
                  40,            0.019545,           0.0051341,           0.0029209,              0.8954,             0.81921,             0.87871,             0.68215,            0.018949,           0.0049547,           0.0056036,            0.002278,            0.002278,            0.002278
                  41,            0.019517,           0.0051669,           0.0027062,             0.90555,             0.82852,             0.88503,             0.68377,            0.018708,           0.0049833,           0.0051274,             0.00208,             0.00208,             0.00208
                  42,            0.019271,            0.005156,           0.0026468,             0.88667,             0.81733,             0.87673,             0.68349,              0.0187,           0.0049479,           0.0053399,            0.001882,            0.001882,            0.001882
                  43,            0.018939,           0.0050687,           0.0024339,              0.9186,             0.80989,             0.87999,             0.68335,             0.01855,           0.0048564,           0.0052922,            0.001684,            0.001684,            0.001684
                  44,            0.018547,           0.0050264,           0.0024603,             0.92131,             0.79364,               0.879,             0.68478,            0.018548,           0.0049234,           0.0059349,            0.001486,            0.001486,            0.001486
                  45,            0.018543,           0.0049473,           0.0022923,             0.92953,             0.79532,              0.8854,             0.68846,            0.018448,           0.0049043,           0.0052752,            0.001288,            0.001288,            0.001288
                  46,            0.018161,           0.0048675,           0.0022663,             0.90823,              0.8148,             0.87841,             0.68573,            0.018391,           0.0049519,           0.0055991,             0.00109,             0.00109,             0.00109
                  47,            0.018015,           0.0049129,           0.0021477,             0.94096,             0.78809,             0.88331,              0.6918,            0.018446,           0.0049293,           0.0053188,            0.000892,            0.000892,            0.000892
                  48,            0.017699,           0.0048181,           0.0022902,             0.91384,             0.81844,             0.88428,             0.69015,            0.018489,           0.0049516,           0.0049959,            0.000694,            0.000694,            0.000694
                  49,            0.017408,           0.0048029,            0.002132,             0.89726,             0.81722,             0.88244,             0.68739,            0.018406,           0.0049836,           0.0049481,            0.000496,            0.000496,            0.000496
